,area_m2,price_total_zl_cleaned
0,177,1500000.0
1,97,1350000.0
2,119,1324499.5
3,116,1295000.0
4,121,1270000.0
5,180,1247499.5
6,141,1190000.0
7,138,1170000.0
8,135,1100000.0
9,195,1075000.0
10,120,1070000.0
11,92,1069500.0
12,128,999000.0
13,99,945000.0
14,112,919500.0
15,76,909000.0
16,94,899000.0
17,100,890000.0
18,79,883000.0
19,110,880000.0
20,126,850000.0
21,98,844500.0
22,84,824500.0
23,124,809000.0
24,87,799500.0
25,95,789000.0
26,77,787450.0
27,104,777000.0
28,75,758666.6666666666
29,108,757500.0
30,118,750000.0
31,82,748666.6666666666
32,72,744500.0
33,78,732000.0
34,91,730000.0
35,67,716750.0
36,70,702525.7142857143
37,125,699000.0
38,88,680000.0
39,85,679000.0
40,71,672200.0
41,68,670500.0
42,90,649360.0
43,81,639500.0
44,66,639500.0
45,80,632425.0
46,74,614166.3333333334
47,105,610000.0
48,65,601600.0
49,101,590000.0
50,58,588066.2222222222
51,69,575000.0
52,63,569071.4285714285
53,56,563333.3333333334
54,83,549000.0
55,59,543800.0
56,96,529500.0
57,93,524500.0
58,64,520940.0
59,60,506000.0
60,62,495279.0
61,52,493520.0
62,57,485760.0
63,54,478536.36363636365
64,61,478285.71428571426
65,51,437451.1875
66,53,437368.4210526316
67,89,436750.0
68,48,431224.85
69,50,426928.5
70,46,418600.36842105264
71,49,418300.0
72,55,413416.6666666667
73,40,392229.0
74,47,390885.2173913043
75,44,387555.55555555556
76,43,386146.36363636365
77,35,377984.3333333333
78,45,374704.8484848485
79,42,368428.75
80,28,364340.0
81,32,351000.0
82,39,350090.9090909091
83,34,348837.5
84,37,329591.6176470588
85,41,328560.8
86,36,328518.0
87,33,319333.3333333333
88,38,316935.29411764705
89,151,299000.0
90,31,285750.0
91,27,281813.75
92,29,281750.0
93,30,266725.0
94,26,245468.0
95,24,220725.0
96,23,212000.0
97,25,207250.0
98,22,199000.0
99,19,197500.0
100,18,195000.0
101,13,179000.0
102,21,169000.0
103,16,162500.0
104,17,145000.0
105,12,143000.0
106,10,119500.0
